"type","fcluster","region","stock_2025","eff","varom","af"
"E_BIOMASS",1,"AT0_0",132,0.468,NA,NA
"E_BIOMASS",1,"CH0_0",59,0.468,NA,NA
"E_BIOMASS",1,"ES0_0",526.1,0.468,NA,NA
"E_BIOMASS",1,"FI1_0",2565.74,0.468,NA,NA
"E_BIOMASS",1,"GB2_0",1545.4,0.468,NA,NA
"E_BIOMASS",1,"DE0_0",7926.691833,0.468,NA,NA
"E_BIOMASS",1,"SE1_0",1571.1,0.468,NA,NA
"E_BIOMASS",1,"IE3_0",38.4,0.468,NA,NA
"E_BIOMASS",1,"IT0_0",215.08,0.468,NA,NA
"E_BIOMASS",1,"NL0_0",729,0.468,NA,NA
"E_BIOMASS",1,"PT0_0",284.9,0.468,NA,NA
"E_BIOMASS",1,"DK0_0",72,0.468,NA,NA
"E_BIOMASS",1,"EE0_0",80,0.468,NA,NA
"E_BIOMASS",1,"FR0_0",264.539,0.468,NA,NA
"E_BIOMASS",1,"LU0_0",2.8,0.468,NA,NA
"E_BIOMASS",1,"BE0_0",71,0.468,NA,NA
"E_BIOMASS",1,"LV0_0",23,0.468,NA,NA
"E_BIOMASS",1,"PL0_0",193,0.468,NA,NA
"E_BIOMASS",1,"RO0_0",30,0.468,NA,NA
"E_BIOMASS",1,"DK1_0",67,0.468,NA,NA
"E_BIOMASS",1,"GB3_0",15.8,0.468,NA,NA
"E_BIOMASS",1,"HU0_0",40,0.468,NA,NA
"E_BIOMASS",1,"RS0_0",7.2,0.468,NA,NA
"E_BIOMASS",1,"IT4_0",22.8,0.468,NA,NA
"E_BIOMASS",1,"LT0_0",80,0.468,NA,NA
"E_CCGT",1,"AT0_0",3258,0.57,NA,NA
"E_CCGT",1,"BE0_0",3038.2,0.57,NA,NA
"E_CCGT",1,"DE0_0",9953.42298,0.57,NA,NA
"E_CCGT",1,"DK0_0",464,0.57,NA,NA
"E_CCGT",1,"FI1_0",476.6,0.57,NA,NA
"E_CCGT",1,"FR0_0",9064.4,0.57,NA,NA
"E_CCGT",1,"GB2_0",17023.4,0.57,NA,NA
"E_CCGT",1,"HU0_0",1378.5,0.57,NA,NA
"E_CCGT",1,"IE3_0",4133.4,0.57,NA,NA
"E_CCGT",1,"IT0_0",33010.9,0.57,NA,NA
"E_CCGT",1,"MD0_0",2520,0.57,NA,NA
"E_CCGT",1,"NL0_0",5973.9,0.57,NA,NA
"E_CCGT",1,"NO1_0",753,0.57,NA,NA
"E_CCGT",1,"PT0_0",3086,0.57,NA,NA
"E_CCGT",1,"SE1_0",790,0.57,NA,NA
"E_CCGT",1,"UA0_0",1884.1,0.57,NA,NA
"E_CCGT",1,"CH0_0",98.8,0.57,NA,NA
"E_CCGT",1,"PL0_0",6274,0.57,NA,NA
"E_CCGT",1,"CZ0_0",988,0.57,NA,NA
"E_CCGT",1,"ES0_0",25544.4,0.57,NA,NA
"E_CCGT",1,"GR0_0",7383.6,0.57,NA,NA
"E_CCGT",1,"LT0_0",1148,0.57,NA,NA
"E_CCGT",1,"BG0_0",303,0.57,NA,NA
"E_CCGT",1,"ES6_0",104.6,0.57,NA,NA
"E_CCGT",1,"LV0_0",1087,0.57,NA,NA
"E_CCGT",1,"RO0_0",407.5,0.57,NA,NA
"E_CCGT",1,"SK0_0",695,0.57,NA,NA
"E_CCGT",1,"MK0_0",220,0.57,NA,NA
"E_CCGT",1,"HR0_0",235,0.57,NA,NA
"E_CCGT",1,"RS0_0",189,0.57,NA,NA
"E_CCGT",1,"SI0_0",114,0.57,NA,NA
"E_COAL",1,"DE0_0",20231.18,0.356,NA,NA
"E_COAL",1,"MD0_0",2520,0.356,NA,NA
"E_COAL",1,"PL0_0",12385,0.356,NA,NA
"E_COAL",1,"UA0_0",815,0.356,NA,NA
"E_COAL",1,"CZ0_0",639,0.356,NA,NA
"E_COAL",1,"FR0_0",1385,0.356,NA,NA
"E_COAL",1,"BG0_0",1204,0.356,NA,NA
"E_COAL",1,"RO0_0",260,0.356,NA,NA
"E_COAL",1,"HR0_0",342,0.356,NA,NA
"E_COAL",1,"SI0_0",124,0.356,NA,NA
"E_COAL",1,"DK0_0",716,0.356,NA,NA
"E_COAL",1,"NL0_0",4706,0.356,NA,NA
"E_COAL",1,"FI1_0",864,0.356,NA,NA
"E_COAL",1,"IT4_0",1230,0.356,NA,NA
"E_COAL",1,"SK0_0",208,0.356,NA,NA
"E_GEOTHERMAL",1,"DE0_0",26.9,1,NA,NA
"E_GEOTHERMAL",1,"IT0_0",503,1,NA,NA
"E_GEOTHERMAL",1,"FR0_0",1.7,1,NA,NA
"E_GEOTHERMAL",1,"HR0_0",36.1,1,NA,NA
"E_GEOTHERMAL",1,"HU0_0",3.4,1,NA,NA
"E_GEOTHERMAL",1,"GB2_0",2,1,NA,NA
"E_LIGNITE",1,"CZ0_0",8749.6,0.33,NA,NA
"E_LIGNITE",1,"DE0_0",19313.475,0.33,NA,NA
"E_LIGNITE",1,"FI1_0",150,0.33,NA,NA
"E_LIGNITE",1,"BG0_0",4455,0.33,NA,NA
"E_LIGNITE",1,"GR0_0",1280,0.33,NA,NA
"E_LIGNITE",1,"RS0_0",4817,0.33,NA,NA
"E_LIGNITE",1,"SI0_0",1355,0.33,NA,NA
"E_LIGNITE",1,"HU0_0",1134,0.33,NA,NA
"E_LIGNITE",1,"XK0_0",1480,0.33,NA,NA
"E_LIGNITE",1,"BA0_0",1490,0.33,NA,NA
"E_LIGNITE",1,"PL0_0",8193,0.33,NA,NA
"E_LIGNITE",1,"FR0_0",977,0.33,NA,NA
"E_LIGNITE",1,"RO0_0",4130,0.33,NA,NA
"E_LIGNITE",1,"ES6_0",510,0.33,NA,NA
"E_LIGNITE",1,"ME0_0",225,0.33,NA,NA
"E_LIGNITE",1,"MK0_0",824,0.33,NA,NA
"E_LIGNITE",1,"IE3_0",253,0.33,NA,NA
"E_NUCLEAR",1,"NL0_0",515,0.326,NA,NA
"E_NUCLEAR",1,"FI1_0",2782,0.326,NA,NA
"E_NUCLEAR",1,"SI0_0",727,0.326,NA,NA
"E_NUCLEAR",1,"UA0_0",12901.8916595756,0.326,NA,NA
"E_NUCLEAR",1,"BG0_0",2080,0.326,NA,NA
"E_NUCLEAR",1,"CZ0_0",4164,0.326,NA,NA
"E_NUCLEAR",1,"ES0_0",2153,0.326,NA,NA
"E_NUCLEAR",1,"FR0_0",34480,0.326,NA,NA
"E_NUCLEAR",1,"GB2_0",5224,0.326,NA,NA
"E_NUCLEAR",1,"HU0_0",1012,0.326,NA,NA
"E_NUCLEAR",1,"RO0_0",1411,0.326,NA,NA
"E_NUCLEAR",1,"SK0_0",1942,0.326,NA,NA
"E_OCGT",1,"DE0_0",4588.109673,0.405,NA,NA
"E_OFFWIND_AC",1,"BE0_0",2752.2,NA,NA,NA
"E_OFFWIND_AC",1,"FR0_0",2025,NA,NA,NA
"E_OFFWIND_AC",1,"GB2_0",22717.4,NA,NA,NA
"E_OFFWIND_AC",1,"NL0_0",7121,NA,NA,NA
"E_OFFWIND_AC",1,"DK0_0",1602.6,NA,NA,NA
"E_OFFWIND_AC",1,"DK1_0",1050,NA,NA,NA
"E_OFFWIND_AC",1,"IE3_0",25,NA,NA,NA
"E_OFFWIND_AC",1,"DE0_0",11163.743,NA,NA,NA
"E_OFFWIND_AC",1,"NO1_0",138,NA,NA,NA
"E_OFFWIND_AC",1,"SE1_0",188,NA,NA,NA
"E_OFFWIND_AC",1,"ES0_0",20,NA,NA,NA
"E_OFFWIND_AC",1,"FI1_0",42,NA,NA,NA
"E_OFFWIND_AC",1,"IT0_0",30,NA,NA,NA
"E_OFFWIND_AC",1,"PT0_0",25,NA,NA,NA
"E_OIL",1,"BE0_0",130.2,0.35,NA,NA
"E_OIL",1,"FI1_0",698.2,0.35,NA,NA
"E_OIL",1,"IT0_0",264,0.35,NA,NA
"E_OIL",1,"SE1_0",1587,0.35,NA,NA
"E_OIL",1,"MK0_0",198,0.35,NA,NA
"E_OIL",1,"DE0_0",2810.863146,0.35,NA,NA
"E_OIL",1,"FR0_0",139,0.35,NA,NA
"E_OIL",1,"GR0_0",204,0.35,NA,NA
"E_OIL",1,"IE3_0",480,0.35,NA,NA
"E_OIL",1,"IT4_0",37,0.35,NA,NA
"E_OIL",1,"PT0_0",91,0.35,NA,NA
"E_OIL",1,"EE0_0",251.1,0.35,NA,NA
"E_OIL",1,"GB2_0",68,0.35,NA,NA
"E_ONWIND",1,"AL0_0",150,NA,NA,NA
"E_ONWIND",1,"BE0_0",1724,NA,NA,NA
"E_ONWIND",1,"DE0_0",72915.0569,NA,NA,NA
"E_ONWIND",1,"DK0_0",1803.7,NA,NA,NA
"E_ONWIND",1,"ES0_0",31499.7,NA,NA,NA
"E_ONWIND",1,"FI1_0",8692.4,NA,NA,NA
"E_ONWIND",1,"FR0_0",24221.8,NA,NA,NA
"E_ONWIND",1,"GB2_0",14790,NA,NA,NA
"E_ONWIND",1,"GR0_0",6284.6,NA,NA,NA
"E_ONWIND",1,"HR0_0",1140,NA,NA,NA
"E_ONWIND",1,"IE3_0",4562.7,NA,NA,NA
"E_ONWIND",1,"IT0_0",9140.5,NA,NA,NA
"E_ONWIND",1,"IT4_0",1216,NA,NA,NA
"E_ONWIND",1,"LT0_0",1493,NA,NA,NA
"E_ONWIND",1,"MK0_0",546,NA,NA,NA
"E_ONWIND",1,"NL0_0",4574.2,NA,NA,NA
"E_ONWIND",1,"NO1_0",5572.4,NA,NA,NA
"E_ONWIND",1,"PL0_0",9275.5,NA,NA,NA
"E_ONWIND",1,"PT0_0",5590.2,NA,NA,NA
"E_ONWIND",1,"RO0_0",5723.2,NA,NA,NA
"E_ONWIND",1,"RS0_0",670.1,NA,NA,NA
"E_ONWIND",1,"SE1_0",17231.6,NA,NA,NA
"E_ONWIND",1,"UA0_0",556.3,NA,NA,NA
"E_ONWIND",1,"GB3_0",1127,NA,NA,NA
"E_ONWIND",1,"AT0_0",2788.6,NA,NA,NA
"E_ONWIND",1,"LU0_0",131.6,NA,NA,NA
"E_ONWIND",1,"LV0_0",100,NA,NA,NA
"E_ONWIND",1,"BG0_0",608,NA,NA,NA
"E_ONWIND",1,"CZ0_0",151,NA,NA,NA
"E_ONWIND",1,"EE0_0",688,NA,NA,NA
"E_ONWIND",1,"HU0_0",319,NA,NA,NA
"E_ONWIND",1,"CH0_0",55,NA,NA,NA
"E_ONWIND",1,"DK1_0",209,NA,NA,NA
"E_ONWIND",1,"BA0_0",244,NA,NA,NA
"E_ONWIND",1,"ME0_0",118,NA,NA,NA
"E_ONWIND",1,"XK0_0",135,NA,NA,NA
"E_ONWIND",1,"FR5_0",17,NA,NA,NA
"E_ROR",1,"AL0_0",383.666,NA,NA,NA
"E_ROR",1,"AT0_0",2149.18036825811,NA,NA,NA
"E_ROR",1,"BE0_0",52.9982842431453,NA,NA,NA
"E_ROR",1,"BG0_0",241.4,NA,NA,NA
"E_ROR",1,"CH0_0",2849.956,NA,NA,NA
"E_ROR",1,"DE0_0",2378.060049,NA,NA,NA
"E_ROR",1,"ES0_0",496.7958,NA,NA,NA
"E_ROR",1,"FI1_0",1156.6,NA,NA,NA
"E_ROR",1,"FR0_0",6634.18466807895,NA,NA,NA
"E_ROR",1,"GB2_0",3231.7,NA,NA,NA
"E_ROR",1,"GR0_0",29.3,NA,NA,NA
"E_ROR",1,"IT0_0",7297.56,NA,NA,NA
"E_ROR",1,"IT4_0",20,NA,NA,NA
"E_ROR",1,"ME0_0",5.36,NA,NA,NA
"E_ROR",1,"NO1_0",1342,NA,NA,NA
"E_ROR",1,"RO0_0",3990.45,NA,NA,NA
"E_ROR",1,"RS0_0",341,NA,NA,NA
"E_ROR",1,"SI0_0",724.225,NA,NA,NA
"E_ROR",1,"SK0_0",1307.21,NA,NA,NA
"E_ROR",1,"XK0_0",30.2,NA,NA,NA
"E_ROR",1,"PL0_0",180.034110998868,NA,NA,NA
"E_ROR",1,"SE1_0",1952,NA,NA,NA
"E_ROR",1,"HR0_0",329.767730291677,NA,NA,NA
"E_ROR",1,"HU0_0",13.5,NA,NA,NA
"E_ROR",1,"MK0_0",207.6,NA,NA,NA
"E_ROR",1,"PT0_0",2353.4,NA,NA,NA
"E_ROR",1,"CZ0_0",27.0429460648713,NA,NA,NA
"E_ROR",1,"LV0_0",1296,NA,NA,NA
"E_ROR",1,"IE3_0",130,NA,NA,NA
"E_ROR",1,"BA0_0",14,NA,NA,NA
"E_SOLAR",1,"BA0_0",564.5,NA,NA,NA
"E_SOLAR",1,"BG0_0",3604,NA,NA,NA
"E_SOLAR",1,"CZ0_0",2933.8,NA,NA,NA
"E_SOLAR",1,"DE0_0",48787.760315,NA,NA,NA
"E_SOLAR",1,"DK0_0",2529.5,NA,NA,NA
"E_SOLAR",1,"EE0_0",1170.6,NA,NA,NA
"E_SOLAR",1,"ES0_0",40863.4,NA,NA,NA
"E_SOLAR",1,"ES6_0",395.3,NA,NA,NA
"E_SOLAR",1,"FI1_0",262.7,NA,NA,NA
"E_SOLAR",1,"FR0_0",13243.8,NA,NA,NA
"E_SOLAR",1,"GB2_0",13420.7,NA,NA,NA
"E_SOLAR",1,"GR0_0",11368.7,NA,NA,NA
"E_SOLAR",1,"HR0_0",391.6,NA,NA,NA
"E_SOLAR",1,"HU0_0",4062.5,NA,NA,NA
"E_SOLAR",1,"IE3_0",1394.7,NA,NA,NA
"E_SOLAR",1,"IT0_0",5880.3,NA,NA,NA
"E_SOLAR",1,"IT4_0",587.6,NA,NA,NA
"E_SOLAR",1,"LU0_0",101.1,NA,NA,NA
"E_SOLAR",1,"LV0_0",810.3,NA,NA,NA
"E_SOLAR",1,"ME0_0",26.1,NA,NA,NA
"E_SOLAR",1,"MK0_0",558.9,NA,NA,NA
"E_SOLAR",1,"NL0_0",7056.2,NA,NA,NA
"E_SOLAR",1,"PL0_0",9318.5,NA,NA,NA
"E_SOLAR",1,"PT0_0",3921.1,NA,NA,NA
"E_SOLAR",1,"RO0_0",4239,NA,NA,NA
"E_SOLAR",1,"SE1_0",682.1,NA,NA,NA
"E_SOLAR",1,"SK0_0",900.4,NA,NA,NA
"E_SOLAR",1,"UA0_0",5687.7,NA,NA,NA
"E_SOLAR",1,"CH0_0",96.7,NA,NA,NA
"E_SOLAR",1,"BE0_0",942.1,NA,NA,NA
"E_SOLAR",1,"DK1_0",854.4,NA,NA,NA
"E_SOLAR",1,"AL0_0",354.2,NA,NA,NA
"E_SOLAR",1,"AT0_0",926.4,NA,NA,NA
"E_SOLAR",1,"GB3_0",209.3,NA,NA,NA
