"resource","tier","steps","max_gw","built_gw","tier_lab","used_pct","share_of_built"
"onwind",1,285,3048.9829414465,86.1021756307547,"0.20-0.30",2.82396383595069,10.6247442411286
"onwind",2,285,2679.8318103954,218.063956596965,"0.30-0.40",8.13722546881741,26.9084230459765
"onwind",3,262,969.887309961502,274.84514613026,"0.40-0.50",28.3378433048237,33.9150475833805
"onwind",4,171,510.583094819995,231.381646654291,">= 0.50",45.3171381899873,28.5517851295145
"solar",1,23,138.293120850643,0.757983201811361,"< 0.10",0.548098992306339,0.0622801578583135
"solar",2,54,1962.08761952754,67.1860199253802,"0.10-0.12",3.42421099122771,5.52038081691661
"solar",3,58,4681.0199194694,579.596516977105,"0.12-0.14",12.3818425673951,47.6229057388085
"solar",4,32,3297.98465938471,125.59386733453,"0.14-0.16",3.80820047107074,10.3194976682046
"solar",5,18,1026.20447027497,242.074750802968,"0.16-0.18",23.5893292043548,19.8902213894614
"solar",6,9,1055.10134429424,201.844941061864,">= 0.18",19.1303842188618,16.5847142287506
