"resource","country","clusters","af_cl","gw","nodes","rows41","gw_pypsa"
"onwind","AL",5,19,24.4185266165377,1,19,68.8903203242229
"onwind","AT",11,42,69.9847942476373,1,42,139.868713922929
"onwind","BA",3,12,39.6922038622844,1,12,138.37550837279
"onwind","BE",1,4,15.0947226600203,1,4,15.4587735839674
"onwind","BG",9,25,50.3135156083406,1,25,142.803190411006
"onwind","CH",7,27,29.5046143590532,1,27,77.1001307657562
"onwind","CZ",3,11,82.5347020502172,1,11,103.448457029082
"onwind","DE",6,23,417.010944010433,1,23,490.161797219212
"onwind","DK",1,3,80.6186300846999,2,6,80.6286281912014
"onwind","EE",1,4,93.6728823666346,1,4,93.6966197946316
"onwind","ES",30,109,603.982379698436,2,112,937.834028220737
"onwind","FI",4,15,681.213741546417,1,15,682.592605389468
"onwind","FR",30,104,799.88767396844,2,116,969.173515693603
"onwind","GB",5,20,438.942179989866,2,24,438.993447212941
"onwind","GR",20,73,72.8563557169059,1,73,215.541862295424
"onwind","HR",5,15,23.2448186247587,1,15,78.0829514729182
"onwind","HU",4,10,115.245265221731,1,10,136.69243388469
"onwind","IE",1,3,142.083173455988,1,3,142.085679484097
"onwind","IT",50,167,205.64378828719,2,167,503.654458241916
"onwind","LT",1,4,125.645937291536,1,4,128.60634699188
"onwind","LU",1,3,2.02284603905854,1,3,2.25287892017273
"onwind","LV",2,7,148.919803387241,1,7,150.001153759332
"onwind","MD",1,3,26.3023823466034,1,3,53.4068020137192
"onwind","ME",2,8,15.9556501683745,1,8,38.1391751518491
"onwind","MK",4,13,16.298908578029,1,13,66.8699995629513
"onwind","NL",1,4,47.0610623557508,1,4,47.0711012653988
"onwind","NO",20,80,694.366871492374,1,80,790.206756978415
"onwind","PL",5,20,408.040367425912,1,20,419.755700537077
"onwind","PT",3,12,124.894925337933,1,12,162.929910769591
"onwind","RO",20,54,169.971265880075,1,54,324.579608862582
"onwind","RS",6,18,88.5995071356067,1,18,184.100416962533
"onwind","SE",8,32,894.261417885778,1,32,942.164428566755
"onwind","SI",3,11,7.30547148167708,1,11,28.5740359330113
"onwind","SK",4,14,25.2071712105892,1,14,52.4133841238697
"onwind","UA",8,26,418.687713361883,1,26,850.955960318751
"onwind","XK",2,8,9.79894286937903,1,8,26.2470457205172
"solar","AL",1,5,53.178319011131,1,5,54.2237711222733
"solar","AT",2,9,170.999900272679,1,9,175.746564935398
"solar","BA",1,5,85.6241773672029,1,5,87.146085635075
"solar","BE",1,2,105.455673461361,1,2,106.141041921427
"solar","BG",1,4,233.76617163409,1,4,232.37392844818
"solar","CH",1,6,120.754610761064,1,6,125.048287014332
"solar","CZ",1,2,213.31657890362,1,2,209.338465038264
"solar","DE",4,10,1082.05740366331,1,10,1083.31070489534
"solar","DK",1,2,159.245767185902,2,4,159.547194213703
"solar","EE",1,2,62.5279847586998,1,2,62.1119463787051
"solar","ES",1,6,1096.01605354506,2,12,1094.92428682207
"solar","FI",2,4,92.315771378581,1,4,110.152399656522
"solar","FR",4,16,1682.16733034024,2,28,1682.98737741046
"solar","GB",4,9,851.078326105863,2,11,854.621956333928
"solar","GR",1,5,191.090187172421,1,5,214.857384860713
"solar","HR",1,3,85.6918163368426,1,3,82.0631063260361
"solar","HU",1,2,288.211033249642,1,2,299.937236326193
"solar","IE",1,3,224.79011521805,1,3,223.802729858639
"solar","IT",2,11,765.559129357978,2,22,762.993613016453
"solar","LT",1,2,177.824465105597,1,2,177.3261298441
"solar","LU",1,2,6.56944482499474,1,2,5.97889888043275
"solar","LV",2,4,120.253462249174,1,4,119.210164223261
"solar","MD",1,2,88.5291250596394,1,2,174.539890272997
"solar","ME",1,4,15.9560561299612,1,4,15.2924787583098
"solar","MK",1,4,49.1518317910443,1,4,49.7980503906316
"solar","NL",1,2,137.96595587578,1,2,139.221732677778
"solar","NO",5,15,289.895266161048,1,15,302.480504160972
"solar","PL",3,8,864.113889562113,1,8,875.066236777306
"solar","PT",1,3,135.976813827885,1,3,136.70327372904
"solar","RO",2,6,652.373649367615,1,6,654.462467106698
"solar","RS",1,4,193.501430971161,1,4,197.918225088624
"solar","SE",4,9,195.942549321124,1,9,233.747131568019
"solar","SI",1,4,25.1400946708551,1,4,23.8226585913507
"solar","SK",1,4,99.7429978462469,1,4,98.2510779486458
"solar","UA",4,11,1522.36499871624,1,11,3046.17473219682
"solar","XK",1,4,21.5427525973025,1,4,21.9816860266595
