"resource","country","cluster_old","cluster_new","cf","mw"
"onwind","AL",4,1,0.2196,2326
"onwind","AL",5,2,0.2133,1452
"onwind","AL",1,3,0.201,1949
"onwind","AL",2,4,0.1891,941
"onwind","AL",3,5,0.1631,1460
"onwind","AT",9,1,0.3193,2457
"onwind","AT",3,2,0.2794,2672
"onwind","AT",11,3,0.263,2887
"onwind","AT",7,4,0.2625,2072
"onwind","AT",8,5,0.2599,2688
"onwind","AT",10,6,0.2213,2124
"onwind","AT",2,7,0.2164,3212
"onwind","AT",4,8,0.1938,2582
"onwind","AT",6,9,0.1857,1085
"onwind","AT",5,10,0.1717,644
"onwind","AT",1,11,0.1681,886
"onwind","BA",2,1,0.269,3846
"onwind","BA",1,2,0.2496,4331
"onwind","BA",3,3,0.1799,5041
"onwind","BE",1,1,0.358,5021
"onwind","BG",8,1,0.3419,1422
"onwind","BG",7,2,0.2829,3012
"onwind","BG",3,3,0.2281,2718
"onwind","BG",6,4,0.2266,2964
"onwind","BG",9,5,0.192,1214
"onwind","BG",1,6,0.1826,1736
"onwind","BG",5,7,0.1788,1190
"onwind","BG",2,8,0.1718,1150
"onwind","BG",4,9,0.1588,1343
"onwind","CH",4,1,0.2575,1416
"onwind","CH",3,2,0.2477,1683
"onwind","CH",6,3,0.2203,742
"onwind","CH",7,4,0.2164,2777
"onwind","CH",1,5,0.2024,323
"onwind","CH",5,6,0.187,1816
"onwind","CH",2,7,0.1565,1061
"onwind","CZ",1,1,0.2687,7197
"onwind","CZ",3,2,0.2686,11806
"onwind","CZ",2,3,0.2361,8482
"onwind","DE",6,1,0.4663,12573
"onwind","DE",5,2,0.3936,17878
"onwind","DE",4,3,0.3867,25935
"onwind","DE",3,4,0.3268,24411
"onwind","DE",2,5,0.2721,27227
"onwind","DE",1,6,0.2322,30885
"onwind","DK",1,1,0.5113,26866
"onwind","EE",1,1,0.3491,31211
"onwind","ES",23,1,0.3794,5195
"onwind","ES",20,2,0.3398,4079
"onwind","ES",16,3,0.3339,6266
"onwind","ES",29,4,0.3324,11400
"onwind","ES",26,5,0.3144,7477
"onwind","ES",25,6,0.2861,6857
"onwind","ES",14,7,0.2763,2272
"onwind","ES",1,8,0.2757,7531
"onwind","ES",24,9,0.2716,6296
"onwind","ES",19,10,0.265,9005
"onwind","ES",13,11,0.264,6651
"onwind","ES",10,12,0.2629,2423
"onwind","ES",15,13,0.2623,6508
"onwind","ES",8,14,0.2617,8745
"onwind","ES",22,15,0.2596,8168
"onwind","ES",30,16,0.2549,5335
"onwind","ES",6,17,0.2537,8888
"onwind","ES",4,18,0.2486,2801
"onwind","ES",21,19,0.2482,6093
"onwind","ES",2,20,0.2404,4764
"onwind","ES",17,21,0.2375,6787
"onwind","ES",18,22,0.2364,10814
"onwind","ES",3,23,0.2359,6612
"onwind","ES",28,24,0.2309,7172
"onwind","ES",12,25,0.2308,8003
"onwind","ES",9,26,0.2286,8676
"onwind","ES",27,27,0.2271,2172
"onwind","ES",11,28,0.2139,4747
"onwind","ES",5,29,0.2095,10758
"onwind","ES",7,30,0.2085,8752
"onwind","FI",4,1,0.313,62289
"onwind","FI",3,2,0.3013,48770
"onwind","FI",1,3,0.296,58303
"onwind","FI",2,4,0.2802,57633
"onwind","FR",26,1,0.3984,12531
"onwind","FR",30,2,0.3881,12750
"onwind","FR",24,3,0.3842,12806
"onwind","FR",2,4,0.3823,7055
"onwind","FR",16,5,0.3745,8528
"onwind","FR",21,6,0.3605,12567
"onwind","FR",25,7,0.3365,13176
"onwind","FR",17,8,0.3185,9250
"onwind","FR",8,9,0.3184,7401
"onwind","FR",10,10,0.3172,7923
"onwind","FR",29,11,0.3153,10336
"onwind","FR",12,12,0.3107,11313
"onwind","FR",5,13,0.3072,12542
"onwind","FR",27,14,0.3041,8508
"onwind","FR",18,15,0.2976,8362
"onwind","FR",13,16,0.2914,8530
"onwind","FR",22,17,0.2856,10629
"onwind","FR",14,18,0.2758,6531
"onwind","FR",28,19,0.2705,7437
"onwind","FR",23,20,0.2642,8027
"onwind","FR",19,21,0.2617,9093
"onwind","FR",11,22,0.2541,7977
"onwind","FR",4,23,0.252,8174
"onwind","FR",6,24,0.25,6127
"onwind","FR",15,25,0.2434,5294
"onwind","FR",20,26,0.2314,6207
"onwind","FR",1,27,0.229,5054
"onwind","FR",9,28,0.2279,10125
"onwind","FR",3,29,0.2277,6497
"onwind","FR",7,30,0.2207,5780
"onwind","GB",3,1,0.5297,15236
"onwind","GB",5,2,0.4883,23767
"onwind","GB",4,3,0.4816,28350
"onwind","GB",2,4,0.4665,36680
"onwind","GB",1,5,0.4505,42230
"onwind","GR",2,1,0.4332,1065
"onwind","GR",15,2,0.3764,1134
"onwind","GR",1,3,0.3485,1695
"onwind","GR",3,4,0.3345,1189
"onwind","GR",11,5,0.3085,2187
"onwind","GR",4,6,0.2706,861
"onwind","GR",10,7,0.2499,576
"onwind","GR",9,8,0.2424,2868
"onwind","GR",20,9,0.2419,902
"onwind","GR",19,10,0.2327,2003
"onwind","GR",8,11,0.219,1311
"onwind","GR",6,12,0.2059,1347
"onwind","GR",5,13,0.1978,573
"onwind","GR",7,14,0.1903,1189
"onwind","GR",14,15,0.1861,795
"onwind","GR",13,16,0.1764,1087
"onwind","GR",12,17,0.1763,1269
"onwind","GR",16,18,0.1712,802
"onwind","GR",18,19,0.1666,510
"onwind","GR",17,20,0.1488,887
"onwind","HR",1,1,0.2694,2169
"onwind","HR",2,2,0.2651,2550
"onwind","HR",3,3,0.2216,823
"onwind","HR",4,4,0.1852,998
"onwind","HR",5,5,0.1822,1192
"onwind","HU",3,1,0.2754,8644
"onwind","HU",2,2,0.2544,11121
"onwind","HU",1,3,0.2517,11521
"onwind","HU",4,4,0.239,7119
"onwind","IE",1,1,0.5214,47352
"onwind","IT",27,1,0.3584,970
"onwind","IT",31,2,0.3441,695
"onwind","IT",17,3,0.34,1217
"onwind","IT",6,4,0.3246,1750
"onwind","IT",22,5,0.3186,2267
"onwind","IT",12,6,0.3,892
"onwind","IT",28,7,0.2923,1847
"onwind","IT",19,8,0.2915,2135
"onwind","IT",20,9,0.284,1174
"onwind","IT",26,10,0.2821,2865
"onwind","IT",7,11,0.2735,1549
"onwind","IT",2,12,0.2731,1099
"onwind","IT",33,13,0.2681,1861
"onwind","IT",13,14,0.2673,898
"onwind","IT",8,15,0.2672,1606
"onwind","IT",23,16,0.2661,1351
"onwind","IT",4,17,0.2611,1459
"onwind","IT",30,18,0.251,1210
"onwind","IT",49,19,0.2478,785
"onwind","IT",15,20,0.2475,821
"onwind","IT",1,21,0.2472,1282
"onwind","IT",14,22,0.2452,3245
"onwind","IT",35,23,0.2387,2120
"onwind","IT",11,24,0.238,1281
"onwind","IT",24,25,0.2373,1897
"onwind","IT",18,26,0.2342,1602
"onwind","IT",9,27,0.2321,327
"onwind","IT",29,28,0.2294,1112
"onwind","IT",34,29,0.2262,1049
"onwind","IT",25,30,0.226,2235
"onwind","IT",10,31,0.2229,1054
"onwind","IT",47,32,0.2189,556
"onwind","IT",32,33,0.2122,1255
"onwind","IT",41,34,0.2121,1398
"onwind","IT",5,35,0.2106,1304
"onwind","IT",36,36,0.2086,2157
"onwind","IT",3,37,0.2065,944
"onwind","IT",40,38,0.204,914
"onwind","IT",42,39,0.201,1441
"onwind","IT",38,40,0.199,1056
"onwind","IT",39,41,0.1981,1467
"onwind","IT",45,42,0.1879,1170
"onwind","IT",16,43,0.186,736
"onwind","IT",37,44,0.1847,1622
"onwind","IT",50,45,0.1791,2011
"onwind","IT",43,46,0.178,2029
"onwind","IT",46,47,0.1731,584
"onwind","IT",21,48,0.1565,1118
"onwind","IT",44,49,0.1402,594
"onwind","IT",48,50,0.123,477
"onwind","LT",1,1,0.3483,41868
"onwind","LU",1,1,0.2777,674
"onwind","LV",2,1,0.3565,21165
"onwind","LV",1,2,0.3161,28462
"onwind","MD",1,1,0.3015,8759
"onwind","ME",2,1,0.2254,3908
"onwind","ME",1,2,0.1925,1406
"onwind","MK",4,1,0.2075,2311
"onwind","MK",2,2,0.1702,961
"onwind","MK",3,3,0.1661,1076
"onwind","MK",1,4,0.1271,1077
"onwind","NL",1,1,0.4459,15679
"onwind","NO",20,1,0.4582,13055
"onwind","NO",19,2,0.4462,13608
"onwind","NO",1,3,0.4416,8924
"onwind","NO",13,4,0.4373,13865
"onwind","NO",3,5,0.4266,12149
"onwind","NO",11,6,0.4138,10989
"onwind","NO",14,7,0.4101,14722
"onwind","NO",18,8,0.4095,12549
"onwind","NO",17,9,0.4048,11048
"onwind","NO",15,10,0.3881,9724
"onwind","NO",10,11,0.3852,10275
"onwind","NO",12,12,0.3838,11989
"onwind","NO",7,13,0.3695,7502
"onwind","NO",16,14,0.3654,12185
"onwind","NO",9,15,0.3552,8870
"onwind","NO",5,16,0.3318,12555
"onwind","NO",2,17,0.3223,10509
"onwind","NO",6,18,0.3156,11413
"onwind","NO",8,19,0.2901,13291
"onwind","NO",4,20,0.2502,12171
"onwind","PL",4,1,0.3625,29794
"onwind","PL",5,2,0.3477,19786
"onwind","PL",3,3,0.3402,34613
"onwind","PL",2,4,0.3062,27196
"onwind","PL",1,5,0.3005,24570
"onwind","PT",1,1,0.2729,14150
"onwind","PT",2,2,0.2719,13369
"onwind","PT",3,3,0.2363,14093
"onwind","RO",3,1,0.3157,3664
"onwind","RO",10,2,0.3106,2898
"onwind","RO",14,3,0.3067,2826
"onwind","RO",8,4,0.2868,3519
"onwind","RO",20,5,0.2769,2716
"onwind","RO",5,6,0.2745,3597
"onwind","RO",15,7,0.2735,3133
"onwind","RO",6,8,0.2551,3435
"onwind","RO",18,9,0.2534,2928
"onwind","RO",13,10,0.2312,3692
"onwind","RO",9,11,0.2186,1502
"onwind","RO",1,12,0.2131,3133
"onwind","RO",16,13,0.2129,1459
"onwind","RO",2,14,0.2117,3444
"onwind","RO",12,15,0.2114,3066
"onwind","RO",7,16,0.2102,1012
"onwind","RO",4,17,0.2086,3251
"onwind","RO",19,18,0.1929,2105
"onwind","RO",17,19,0.1768,3192
"onwind","RO",11,20,0.1528,2052
"onwind","RS",6,1,0.2671,5693
"onwind","RS",4,2,0.2539,6217
"onwind","RS",5,3,0.2396,5122
"onwind","RS",3,4,0.2268,2529
"onwind","RS",2,5,0.207,5129
"onwind","RS",1,6,0.1697,4822
"onwind","SE",7,1,0.3587,19928
"onwind","SE",1,2,0.3439,43715
"onwind","SE",2,3,0.3351,44483
"onwind","SE",4,4,0.3055,34286
"onwind","SE",6,5,0.3039,39332
"onwind","SE",5,6,0.2995,44711
"onwind","SE",3,7,0.2798,42850
"onwind","SE",8,8,0.2794,28651
"onwind","SI",1,1,0.2063,892
"onwind","SI",3,2,0.1908,617
"onwind","SI",2,3,0.1436,917
"onwind","SK",2,1,0.2637,3705
"onwind","SK",1,2,0.2174,1754
"onwind","SK",4,3,0.2121,1877
"onwind","SK",3,4,0.2028,1042
"onwind","UA",3,1,0.3643,13328
"onwind","UA",1,2,0.3464,20990
"onwind","UA",6,3,0.3437,15595
"onwind","UA",5,4,0.3429,16776
"onwind","UA",2,5,0.3419,22396
"onwind","UA",8,6,0.3347,16345
"onwind","UA",4,7,0.3238,16441
"onwind","UA",7,8,0.3141,17591
"onwind","XK",1,1,0.2045,1358
"onwind","XK",2,2,0.1924,1902
"solar","AL",1,1,0.1681,10630
"solar","AT",1,1,0.1357,14506
"solar","AT",2,2,0.1351,19953
"solar","BA",1,1,0.1488,17086
"solar","BE",1,1,0.1232,20812
"solar","BG",1,1,0.1555,45563
"solar","CH",1,1,0.141,24519
"solar","CZ",1,1,0.1285,41046
"solar","DE",1,1,0.1324,46453
"solar","DE",2,2,0.1239,51546
"solar","DE",3,3,0.1238,60062
"solar","DE",4,4,0.1186,54351
"solar","DK",1,1,0.1194,31281
"solar","EE",1,1,0.1183,12177
"solar","ES",1,1,0.1844,214687
"solar","FI",1,1,0.1139,12583
"solar","FI",2,2,0.1116,5614
"solar","FR",1,1,0.1532,96526
"solar","FR",2,2,0.1399,90613
"solar","FR",3,3,0.1347,75031
"solar","FR",4,4,0.1293,67825
"solar","GB",2,1,0.1201,37252
"solar","GB",1,2,0.1167,41726
"solar","GB",3,3,0.1115,40345
"solar","GB",4,4,0.1037,48248
"solar","GR",1,1,0.1728,42126
"solar","HR",1,1,0.1493,16088
"solar","HU",1,1,0.1454,58811
"solar","IE",1,1,0.1066,43882
"solar","IT",1,1,0.1725,75575
"solar","IT",2,2,0.1587,74029
"solar","LT",1,1,0.1205,34768
"solar","LU",1,1,0.1243,1172
"solar","LV",1,1,0.1209,10643
"solar","LV",2,2,0.1179,12731
"solar","MD",1,1,0.1447,17111
"solar","ME",1,1,0.1571,2998
"solar","MK",1,1,0.1617,9764
"solar","NL",1,1,0.1209,27296
"solar","NO",1,1,0.1173,12685
"solar","NO",2,2,0.1165,6915
"solar","NO",4,3,0.1104,18116
"solar","NO",3,4,0.1002,11576
"solar","NO",5,5,0.0968,7794
"solar","PL",1,1,0.1281,47752
"solar","PL",3,2,0.1246,43037
"solar","PL",2,3,0.1246,80791
"solar","PT",1,1,0.1793,26803
"solar","RO",1,1,0.1517,75183
"solar","RO",2,2,0.1435,53142
"solar","RS",1,1,0.1487,38806
"solar","SE",3,1,0.1215,8590
"solar","SE",1,2,0.1212,7943
"solar","SE",2,3,0.1185,9145
"solar","SE",4,4,0.1158,12916
"solar","SI",1,1,0.1428,4669
"solar","SK",1,1,0.1377,19264
"solar","UA",1,1,0.1443,108003
"solar","UA",2,2,0.1408,71550
"solar","UA",4,3,0.1322,56491
"solar","UA",3,4,0.1305,62596
"solar","XK",1,1,0.1552,4310
