"resource","country","cluster","cluster_rank","tier","location","gw"
"onwind","AL",4,1,4,1,0.065
"onwind","AL",5,2,4,2,0.095
"onwind","AL",1,3,4,3,0.006
"onwind","AL",3,5,4,4,0.004
"onwind","AL",4,1,3,5,0.591
"onwind","AL",5,2,3,6,0.445
"onwind","AL",1,3,3,7,0.268
"onwind","AL",2,4,3,8,0.068
"onwind","AL",3,5,3,9,0.06
"onwind","AL",4,1,2,10,2.123
"onwind","AL",5,2,2,11,1.317
"onwind","AL",1,3,2,12,0.925
"onwind","AL",2,4,2,13,0.594
"onwind","AL",3,5,2,14,0.751
"onwind","AL",4,1,1,15,4.204
"onwind","AL",5,2,1,16,2.504
"onwind","AL",1,3,1,17,4.66
"onwind","AL",2,4,1,18,2.17
"onwind","AL",3,5,1,19,3.57
"onwind","AT",9,1,4,1,0.006
"onwind","AT",3,2,4,2,0.638
"onwind","AT",11,3,4,3,0.028
"onwind","AT",7,4,4,4,0.621
"onwind","AT",8,5,4,5,0.062
"onwind","AT",2,7,4,6,0.279
"onwind","AT",4,8,4,7,0.072
"onwind","AT",6,9,4,8,0.026
"onwind","AT",1,11,4,9,0.003
"onwind","AT",9,1,3,10,0.156
"onwind","AT",3,2,3,11,1.705
"onwind","AT",11,3,3,12,0.168
"onwind","AT",7,4,3,13,1.133
"onwind","AT",8,5,3,14,0.362
"onwind","AT",10,6,3,15,0.014
"onwind","AT",2,7,3,16,1.136
"onwind","AT",4,8,3,17,0.658
"onwind","AT",6,9,3,18,0.332
"onwind","AT",5,10,3,19,0.099
"onwind","AT",1,11,3,20,0.136
"onwind","AT",9,1,2,21,5.027
"onwind","AT",3,2,2,22,2.65
"onwind","AT",11,3,2,23,1.79
"onwind","AT",7,4,2,24,1.83
"onwind","AT",8,5,2,25,2.754
"onwind","AT",10,6,2,26,0.608
"onwind","AT",2,7,2,27,2.963
"onwind","AT",4,8,2,28,2.174
"onwind","AT",6,9,2,29,0.991
"onwind","AT",5,10,2,30,0.539
"onwind","AT",1,11,2,31,0.712
"onwind","AT",9,1,1,32,2.19
"onwind","AT",3,2,1,33,3.024
"onwind","AT",11,3,1,34,6.679
"onwind","AT",7,4,1,35,2.631
"onwind","AT",8,5,1,36,4.891
"onwind","AT",10,6,1,37,5.756
"onwind","AT",2,7,1,38,5.264
"onwind","AT",4,8,1,39,4.854
"onwind","AT",6,9,1,40,1.909
"onwind","AT",5,10,1,41,1.3
"onwind","AT",1,11,1,42,1.814
"onwind","BA",2,1,4,1,0.144
"onwind","BA",1,2,4,2,0.165
"onwind","BA",3,3,4,3,0.074
"onwind","BA",2,1,3,4,1.584
"onwind","BA",1,2,3,5,1.15
"onwind","BA",3,3,3,6,0.874
"onwind","BA",2,1,2,7,4.301
"onwind","BA",1,2,2,8,4.496
"onwind","BA",3,3,2,9,3.478
"onwind","BA",2,1,1,10,5.519
"onwind","BA",1,2,1,11,7.187
"onwind","BA",3,3,1,12,10.72
"onwind","BE",1,1,4,1,0.27
"onwind","BE",1,1,3,2,4.541
"onwind","BE",1,1,2,3,7.163
"onwind","BE",1,1,1,4,3.12
"onwind","BG",8,1,3,1,0.114
"onwind","BG",3,3,3,2,0.094
"onwind","BG",9,5,3,3,0.021
"onwind","BG",1,6,3,4,0.077
"onwind","BG",5,7,3,5,0.004
"onwind","BG",2,8,3,6,0.074
"onwind","BG",4,9,3,7,0.032
"onwind","BG",8,1,2,8,3.698
"onwind","BG",7,2,2,9,3.931
"onwind","BG",3,3,2,10,0.872
"onwind","BG",6,4,2,11,0.46
"onwind","BG",9,5,2,12,0.16
"onwind","BG",1,6,2,13,0.737
"onwind","BG",5,7,2,14,0.029
"onwind","BG",2,8,2,15,0.732
"onwind","BG",4,9,2,16,0.573
"onwind","BG",8,1,1,17,0.461
"onwind","BG",7,2,1,18,5.105
"onwind","BG",3,3,1,19,7.198
"onwind","BG",6,4,1,20,8.434
"onwind","BG",9,5,1,21,3.467
"onwind","BG",1,6,1,22,4.412
"onwind","BG",5,7,1,23,3.538
"onwind","BG",2,8,1,24,2.654
"onwind","BG",4,9,1,25,3.436
"onwind","CH",4,1,4,1,0.096
"onwind","CH",3,2,4,2,0.146
"onwind","CH",6,3,4,3,0.039
"onwind","CH",1,5,4,4,0.005
"onwind","CH",5,6,4,5,0.08
"onwind","CH",2,7,4,6,0.003
"onwind","CH",4,1,3,7,0.611
"onwind","CH",3,2,3,8,0.841
"onwind","CH",6,3,3,9,0.292
"onwind","CH",7,4,3,10,0.049
"onwind","CH",1,5,3,11,0.063
"onwind","CH",5,6,3,12,0.524
"onwind","CH",2,7,3,13,0.132
"onwind","CH",4,1,2,14,1.59
"onwind","CH",3,2,2,15,1.639
"onwind","CH",6,3,2,16,0.74
"onwind","CH",7,4,2,17,1.46
"onwind","CH",1,5,2,18,0.255
"onwind","CH",5,6,2,19,1.571
"onwind","CH",2,7,2,20,0.767
